127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000781
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000743
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002602
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001523
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002989
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002965
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002325
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/js/ajax_editor.js, HTTP/1.1, 200, 0.001399
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000474
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/js/typeahead.min.js, HTTP/1.1, 200, 0.002157
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/images/files_toggle.png, HTTP/1.1, 200, 0.000475
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2016-03-24 20:24:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.057257
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.080081
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.111866
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.146772
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/images/save_icon.png, HTTP/1.1, 200, 0.000855
127.0.0.1, 2016-03-24 20:24:59, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.134196
127.0.0.1, 2016-03-24 20:24:59, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 0.230586
127.0.0.1, 2016-03-24 20:25:50, POST, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.031207
127.0.0.1, 2016-03-24 20:25:52, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.081544
127.0.0.1, 2016-03-24 20:25:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2016-03-24 20:26:18, POST, /admin/default/create_file, HTTP/1.1, 303, 0.029005
127.0.0.1, 2016-03-24 20:26:19, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.088238
127.0.0.1, 2016-03-24 20:26:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2016-03-24 20:26:36, GET, /admin/default/edit/Cooking_Recipes/views/index.css, HTTP/1.1, 200, 0.033810
127.0.0.1, 2016-03-24 20:26:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2016-03-24 20:26:36, GET, /admin/default/edit/Cooking_Recipes/views/index.css, HTTP/1.1, 200, 0.059961
127.0.0.1, 2016-03-24 20:26:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.113261
127.0.0.1, 2016-03-24 20:26:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.268867
127.0.0.1, 2016-03-24 20:26:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.302358
127.0.0.1, 2016-03-24 20:26:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.245295
127.0.0.1, 2016-03-24 20:26:38, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 1.432101
127.0.0.1, 2016-03-24 20:26:49, POST, /admin/default/edit/Cooking_Recipes/views/index.css, HTTP/1.1, 200, 0.035847
127.0.0.1, 2016-03-24 20:26:56, GET, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.027647
127.0.0.1, 2016-03-24 20:26:56, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.007792
127.0.0.1, 2016-03-24 20:27:31, POST, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.033272
127.0.0.1, 2016-03-24 20:27:33, POST, /admin/default/edit/Cooking_Recipes/views/index.css, HTTP/1.1, 200, 0.031448
127.0.0.1, 2016-03-24 20:27:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047136
127.0.0.1, 2016-03-24 20:27:38, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 1.407696
127.0.0.1, 2016-03-24 20:27:40, GET, /, HTTP/1.1, 303, 0.000399
127.0.0.1, 2016-03-24 20:27:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.335752
127.0.0.1, 2016-03-24 20:27:48, GET, /admin/default/site, HTTP/1.1, 200, 0.044903
127.0.0.1, 2016-03-24 20:27:51, GET, /Cooking_Recipes/default/index, HTTP/1.1, 200, 0.130938
127.0.0.1, 2016-03-24 20:27:51, GET, /index.css, HTTP/1.1, 400, 0.000751
127.0.0.1, 2016-03-24 20:27:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2016-03-24 20:28:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.040565
127.0.0.1, 2016-03-24 20:28:45, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 0.158227
127.0.0.1, 2016-03-24 20:29:13, POST, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.032611
127.0.0.1, 2016-03-24 20:29:17, GET, /Cooking_Recipes/default/index, HTTP/1.1, 200, 0.035314
127.0.0.1, 2016-03-24 20:29:17, GET, /Cooking_Recipes/default/index.css, HTTP/1.1, 200, 0.035309
127.0.0.1, 2016-03-24 20:29:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2016-03-24 20:29:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043441
127.0.0.1, 2016-03-24 20:29:36, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 0.170366
127.0.0.1, 2016-03-24 20:29:42, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.081118
127.0.0.1, 2016-03-24 20:29:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000181
127.0.0.1, 2016-03-24 20:30:17, POST, /admin/default/create_file, HTTP/1.1, 303, 0.028857
127.0.0.1, 2016-03-24 20:30:17, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.087138
127.0.0.1, 2016-03-24 20:30:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2016-03-24 20:30:41, POST, /admin/default/create_file, HTTP/1.1, 303, 0.029700
127.0.0.1, 2016-03-24 20:30:41, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.118527
127.0.0.1, 2016-03-24 20:30:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000182
127.0.0.1, 2016-03-24 20:30:44, GET, /admin/default/edit/Cooking_Recipes/views/log-in.css, HTTP/1.1, 200, 0.072974
127.0.0.1, 2016-03-24 20:30:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000634
127.0.0.1, 2016-03-24 20:30:44, GET, /admin/default/edit/Cooking_Recipes/views/log-in.css, HTTP/1.1, 200, 0.076319
127.0.0.1, 2016-03-24 20:30:44, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.125804
127.0.0.1, 2016-03-24 20:30:44, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.236908
